id,space1,space2,type,bridge
1,Prussia North,Tilsit,road,1
2,Tilsit,Kaltinenai,road,1
3,Tilsit,Nemaksciai,track,1
4,Prussia South,Tilsit,road,0
5,Prussia South,Kalvarija,road,0
6,Kalvarija,Suwalki,road,0
7,Kalvarija,Unnamed A3,track,0
8,Suwalki,Unnamed A3,track,0
9,Suwalki,Szczuczy,road,0
10,Suwalki,Grodno,road,1
11,Grand Duchy of Warsaw North,Szczuczy,road,0
12,Grand Duchy of Warsaw North,Bialystok,road,0
13,Bialystok,Grodno,road,1
14,Grand Duchy of Warsaw South,Biala,road,0
15,Grand Duchy of Warsaw South,Drohiczyn,track,1
16,Grand Duchy of Warsaw South,Austria,road,0
17,Austria,Lublin,road,0
18,Lublin,Zamosc,road,0
19,Kaltinenai,Siauliai,road,0
20,Nemaksciai,Siauliai,track,0
21,Kalvarija,Kovno,road,1
22,Bialystok,Volkovysk,track,0
23,Bialystok,Bielsk,road,0
24,Drohiczyn,Bielsk,track,0
25,Biala,Brest,road,1
26,Zamosc,Vladimir (Galicia),road,1
27,Riga,Venden,road,1
28,Riga,Friedrichstadt,road,1
29,Riga,Mitau,road,1
30,Mitau,Eckau,track,0
31,Siauliai,Mitau,road,0
32,Siauliai,Panevezys,track,0
33,Eckau,Panevezys,track,0
34,Eckau,Unnamed B2,track,0
35,Panevezys,Unnamed B2,track,0
36,Siauliai,Kedainiai,road,0
37,Kedainiai,Kovno,road,0
38,Kovno,Vilkomir,track,0
39,Panevezys,Vilkomir,track,0
40,Kovno,Vilna,road,0
41,Kovno,Onuskis,track,0
42,Onuskis,Vilna,track,0
43,Onuskis,Lida,track,1
44,Vilna,Lida,road,0
45,Grodno,Mostyr,road,0
46,Mostyr,Lida,road,0
47,Mostyr,Volkovysk,track,1
48,Volkovysk,Slonim,track,0
49,Pruzhany,Slonim,road,0
50,Bielsk,Brest,road,0
51,Brest,Kobryn,road,0
52,Pruzhany,Kobryn,road,0
53,Brest,Ratno,road,0
54,Ratno,Kobryn,track,0
