id,space1,space2,type,bridge
1,1,2,road,1
2,2,3,road,1
3,2,4,track,1
4,5,2,road,0
5,5,6,road,0
6,6,7,road,0
7,6,8,track,0
8,7,8,track,0
9,7,10,road,0
10,7,9,road,1
11,11,10,road,0
12,11,12,road,0
13,12,9,road,1
14,14,15,road,0
15,14,13,track,1
16,14,16,road,0
17,16,17,road,0
18,17,18,road,0
19,3,24,road,0
20,4,24,track,0
21,6,29,road,1
22,12,34,track,0
23,12,37,road,0
24,13,37,track,0
25,15,39,road,1
26,18,43,road,1
27,19,20,road,1
28,19,21,road,1
29,19,22,road,1
30,22,23,track,0
31,24,22,road,0
32,24,25,track,0
33,23,25,track,0
34,23,28,track,0
35,25,28,track,0
36,24,26,road,0
37,26,29,road,0
38,29,27,track,0
39,25,27,track,0
40,29,30,road,0
41,29,31,track,0
42,31,30,track,0
43,31,33,track,1
44,30,33,road,0
45,9,32,road,0
46,32,33,road,0
47,32,34,track,1
48,34,35,track,0
49,36,35,road,0
50,37,39,road,0
51,39,38,road,0
52,36,38,road,0
53,39,40,road,0
54,40,38,track,0
55,40,41,road,1
56,38,42,track,1
57,41,43,road,0
58,41,44,road,0
59,44,45,road,0
60,20,46,road,0
61,21,49,road,0
62,28,49,track,1
63,28,51,track,1
64,28,54,track,0
65,27,54,track,0
66,27,55,track,0
67,30,55,road,0
68,30,57,track,0
69,30,58,road,0
70,30,59,track,0
71,33,62,road,1
72,34,62,track,0
73,35,62,road,0
74,35,63,road,0
75,42,66,road,1
76,42,67,road,0
77,44,67,track,0
78,46,47,track,0
79,46,48,track,0
80,49,48,track,0
81,47,48,track,0
82,49,51,road,0
83,51,50,road,0
84,50,47,road,0
85,51,53,road,1
86,51,52,road,1
87,54,53,track,0
88,53,52,road,0
89,55,53,road,0
90,55,56,track,0
91,57,56,road,0
92,58,56,road,0
93,59,60,track,0
94,57,58,track,0
95,58,61,track,0
96,62,63,road,0
97,63,60,road,1
98,63,64,road,0
99,63,65,road,0
100,66,65,road,0
101,67,68,road,0
102,45,68,road,0
103,45,69,road,0
104,68,69,road,0
105,69,70,road,0
106,69,71,road,0
107,47,72,road,0
108,47,73,road,0
109,50,75,road,0
110,52,75,road,1
111,52,77,road,1
112,52,78,track,0
113,56,78,road,0
114,56,80,road,0
115,61,80,track,1
116,61,83,track,1
117,60,83,track,1
118,60,86,road,0
119,64,85,road,0
120,70,91,road,0
121,73,74,track,0
122,73,75,road,0
123,76,74,track,0
124,75,77,road,0
125,76,77,track,0
126,78,77,road,1
127,79,77,track,1
128,80,79,road,0
129,80,81,track,0
130,80,82,track,0
131,80,83,track,0
132,83,82,road,0
133,81,82,road,0
134,82,84,road,0
135,86,85,road,0
136,85,84,road,0
137,85,87,road,0
138,84,87,road,0
139,89,88,road,0
140,89,90,road,0
141,91,90,road,0
142,91,92,road,0
143,72,93,road,0
144,76,95,track,0
145,76,100,track,1
146,77,100,road,1
147,79,100,road,0
148,81,100,track,0
149,81,102,track,0
150,82,103,road,1
151,84,104,track,1
152,84,105,track,1
153,87,105,track,1
154,87,109,road,0
155,88,109,road,1
156,92,112,road,1
157,92,113,road,1
158,93,94,road,0
159,94,95,road,0
160,95,96,track,0
161,95,97,road,0
162,96,98,track,0
163,100,97,road,1
164,100,99,road,0
165,101,99,road ,0
166,100,102,road,0
167,101,102,track,0
168,97,99,road,1
169,102,103,road,1
170,101,103,road,1
171,103,104,track,0
172,104,105,track,0
173,106,105,track,0
174,87,108,track,1
175,108,110,track,1
176,109,110,road,0
177,107,111,track,0
178,96,114,track,0
179,94,115,track,0
180,99,115,road,0
181,101,115,road,0
182,101,119,road,0
183,101,120,road,1
184,104,120,track,0
185,106,122,track,0
186,107,126,track,0
187,111,126,road,0
188,111,129,road,0
189,110,129,road,1
190,112,129,road,0
191,112,130,track,0
192,114,115,track,0
193,114,117,track,0
194,115,119,road,0
195,117,116,track,0
196,117,118,track,0
197,117,119,track,0
198,119,118,road,0
199,120,119,track,0
200,120,122,road,0
201,119,121,road,0
202,122,121,road,0
203,122,123,road,0
204,122,124,road,0
205,124,126,road,0
206,123,125,road,0
207,126,127,track,0
208,125,127,road,0
209,128,127,road,0
210,129,128,road,0
211,128,130,track,0
212,116,133,track,1
213,116,136,track,0
214,133,136,road,1
215,118,136,road,0
216,118,138,track,0
217,118,141,road,0
218,121,141,road,0
219,123,146,road,0
220,131,132,road,0
221,133,132,road,1
222,133,134,track,1
223,132,135,road,1
224,136,137,road,0
225,134,137,track,0
226,136,139,track,0
227,137,139,track,0
228,138,139,track,0
229,141,139,track,0
230,139,140,road,0
231,136,138,track,0
232,138,141,track,0
233,139,142,road,0
234,141,142,road,0
235,142,140,road,0
236,141,143,track,0
237,143,142,road,0
238,143,144,road,0
239,144,145,road,0
240,146,145,road,0
241,146,147,road,0
242,132,148,track,0
243,135,150,road,0
244,134,150,track,0
245,137,150,road,0
246,139,150,road,0
247,140,150,road,0
248,142,152,road,0
249,145,156,road,0
250,149,150,road,0
251,150,151,road,0
252,150,152,road,0
253,154,152,road,0
254,154,153,road,0
255,154,155,road,0
256,155,156,road,0
