id,name,type,fortress,nation,supply,depot,vp,zone
1,Prussia North,off_map,,france,,,,A2
2,Tilsit,area,,,,1,,A2
3,Kaltinenai,area,,,,1,,A2
4,Nemaksciai,area,,,,,,A2
5,Prussia South,off_map,,france,1,,,A3
6,Kalvarija,area,,,,,,A3
7,Suwalki,area,,,,,,A3
8,Unnamed A3,area,,,,,,A3
9,Grodno,area,,,,1,,A3
10,Szczuczy,area,,,,,,A4
11,Grand Duchy of Warsaw North,off_map,,france,1,,,A4
12,Bialystok,area,,,,1,,A4
13,Drohiczyn,area,,,,,,A4
14,Grand Duchy of Warsaw South,off_map,,france,1,,,A5
15,Biala,area,,,,,,A5
16,Austria,off_map,,france,1,,,A5
17,Lublin,area,,,,1,,A5
18,Zamosc,area,1,,,,,A5
19,Riga,key_city,1,,1,,2,B1
20,Venden,area,,,,,,B1
21,Friedrichstadt,area,,,,,,B1
22,Mitau,area,,,,,,B1
23,Eckau,area,,,,,,B1
24,Siauliai,area,,,,,,B2
25,Panevezys,area,,,,,,B2
26,Kedainiai,area,,,,,,B2
27,Vilkomir,area,,,,,,B2
28,Unnamed B2,area,,,,,,B2
29,Kovno,area,,,,1,,B2
30,Vilna,key_city,,,,1,2,B3
31,Onuskis,area,,,,,,B3
32,Mostyr,area,1,,,,,B3
33,Lida,area,,,,1,,B3
34,Volkovysk,area,,,,,,B4
35,Slonim,area,,,,1,,B4
36,Pruzhany,area,,,,1,,B4
37,Bielsk,area,,,,,,B4
38,Kobryn,area,,,,,,B5
39,Brest,area,1,,,1,,B5
40,Ratno,area,,,,,,B5
41,Kovel,area,,,,1,,B5
42,Unnamed B5,area,,,,,,B5
43,Vladimir (Galicia),area,,,,,,B6
44,Lutsk,area,1,,,1,,B6
45,Dubno,area,,,,1,,B6
46,Livonia,off_map,,russia,,,,C1
47,Ostrov,key_city,,,,1,1,C1
48,Unnamed C1,area,,,,,,C1
49,Jakobstadt,area,,,,1,,C1
50,Ludzha,area,,,,,,C1
51,Dunaburg,area,1,,,1,,C1
52,Drissa,area,1,,,1,,C2
53,Vidzy,area,,,,,,C2
54,Salakas,area,,,,,,C2
55,Svencionys,area,,,,1,,C2
56,Dokshitsy,area,,,,,,C3
57,Nastaniski,area,,,,,,C3
58,Molodechno,area,,,,1,,C3
59,Volozhin,area,,,,,,C3
60,Minsk,key_city,,,,1,1,C3
61,Pleshchenitsy,area,,,,,,C3
62,Novgrudok,area,,,,,,C4
63,Nesvich,area,,,,1,,C4
64,Slutsk,area,,,,1,,C4
65,Kletsk,area,,,,,,C4
66,Pinsk,area,,,,1,,C5
67,Unnamed C6,area,,,,,,C6
68,Rovno,area,,,,,,C6
69,Ostrog,area,,,,1,,C6
70,Novograd,area,,,,1,,C6
71,Moldavia,off_map,,russia,,,,C6
72,Pskov,off_map,,russia,1,,,D1
73,Opochka,area,,,,,,D1
74,Unnamed D1,area,,,,,,D1
